INPUT_TABLE,,,,
Variable ID,,,,
USAnonETSconstraint,,,,
,,,,
region,ghgpolicy,market,year,constraint
USA,CO2nonETS,USA,2030,617.3378633
USA,CO2nonETS,USA,2035,441.9447314
USA,CO2nonETS,USA,2040,254.8205787
USA,CO2nonETS,USA,2045,68.20923236
USA,CO2nonETS,USA,2050,-115.8767457
USA,CO2nonETS,USA,2055,-107.9930154
USA,CO2nonETS,USA,2060,-99.11253894
USA,CO2nonETS,USA,2065,-76.72102948
USA,CO2nonETS,USA,2070,-59.82549287
