# File: A54.StubTranTech_passthru_India.csv
# Title: passthru file for india
# Units: NA
# Source: core with addition two wheeler
# Column types: ccccc
# ----------
region,supplysector,tranSubsector,stub.technology,sce
India,trn_pass,road,road,CORE
India,trn_pass_road,LDV,LDV,CORE
India,trn_pass_road_LDV,4W,4W,CORE
India,trn_freight,road,road,CORE
India,trn_pass_road_LDV,2W,2W,ADD
